ID;DistributionTypes;EstateTypes;EstateSubTypes;ClassifiedBusiness;NumberOfRoomsMin;NumberOfRoomsMax;NumberOfBedroomsMin;NumberOfBedroomsMax;PriceMin;PriceMax;YearOfConstructionMin;YearOfConstructionMax;CertificateOfEligibilityNeeded;IsSaleGoodwill;FeaturesIncluded;BuildStates;LocationsInBuildingIncluded;LocationsInBuildingExcluded;Furnished;ProjectTypes;HiddenProjectTypes;EnergyCertificateClass;PagingOrder
91383;Buy;Apartment;;;;;;;;;;;;;Reduce_Mobility_Access;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
97382;Rent;House;;;5;5;;;;;;;;;;;;;;;;;DateDesc
92064;Buy;Apartment;;;2;2;;;;;;;;;Balcony_Terrace;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
55277;Buy;House;;;;;;;;;;;;;Balcony_Terrace;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
56396;Buy;Apartment;;;3;3;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
32780;Rent;Apartment;;;;;;;;;;;;;;;Roof_Storey;;;;"Flatsharing,Stock";;DateDesc
66630;Buy;Parking;;;;;;;;;;;;;;;;;;;;;DateDesc
81438;Buy;House;;;4;4;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
27018;Rent;Apartment;;;;;4;4;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
29071;Buy;Apartment;;;1;1;;;;;;;;;;;;;;New_Build;;;DateDesc
48498;Rent;Apartment;;;2;2;;;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
62880;Rent;Apartment;;;;;;;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
81926;Buy;Apartment;Multi_Storey;;;;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
48721;Buy;House;;;;;5;5;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
87765;Rent;Apartment;;;;;;;;;;;;;Elevator;;;;;;"Flatsharing,Stock";;DateDesc
