ContextId,GeoLevels,LegacyUrlPattern,ExampleUrl
64472,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/kaufen/wohnung-von-privat,https://immowelt.de/suche/deutschland/wohnungen/kaufen/wohnung-von-privat
65329,Country|Region|Province|Municipality|Borough,/suche/{0}/hallen-industrieflaechen/kaufen/werkstatt,https://immowelt.de/suche/deutschland/hallen-industrieflaechen/kaufen/werkstatt
65710,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/kaufen?roomi=1&rooma=1,https://immowelt.de/suche/deutschland/wohnungen/kaufen?roomi=1&rooma=1
66159,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten?roomi=6&rooma=6,https://immowelt.de/suche/deutschland/wohnungen/mieten?roomi=6&rooma=6
67490,Country|Region|Province|Municipality|Borough,/suche/{0}/wohnungen/mieten800,https://immowelt.de/suche/deutschland/wohnungen/mieten800
68612,Country|Region|Province|Municipality|Borough,/suche/{0}/wohnimmobilien-provisionsfrei/kaufen/wohnimmobilien-provisionsfrei,https://immowelt.de/suche/deutschland/wohnimmobilien-provisionsfrei/kaufen/wohnimmobilien-provisionsfrei
68689,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/neubau-haus/kaufen,https://immowelt.de/suche/deutschland/neubau-haus/kaufen
69083,Country|Region|Province|Municipality|Borough,/suche/{0}/altbauwohnungen/kaufen,https://immowelt.de/suche/deutschland/altbauwohnungen/kaufen
69410,Country|Region|Province|Municipality|Borough,/suche/{0}/gastronomie-hotels/mieten/wl-only-clubdiscotheque,https://immowelt.de/suche/deutschland/gastronomie-hotels/mieten/wl-only-clubdiscotheque
69875,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/hallen-industrieflaechen/mieten/lager,https://immowelt.de/suche/deutschland/hallen-industrieflaechen/mieten/lager
70302,Country|Region|Province|Municipality|Borough,/suche/{0}/gewerbegrundstuecke/mieten,https://immowelt.de/suche/deutschland/gewerbegrundstuecke/mieten
70702,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten/loft,https://immowelt.de/suche/deutschland/wohnungen/mieten/loft
70930,Country|Region|Province|Municipality|Borough,/suche/{0}/gastronomie-hotels/kaufen/cafe,https://immowelt.de/suche/deutschland/gastronomie-hotels/kaufen/cafe
71658,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten/wohnung-mit-einbaukueche,https://immowelt.de/suche/deutschland/wohnungen/mieten/wohnung-mit-einbaukueche
72171,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/einfamilienhaus,https://immowelt.de/suche/deutschland/haeuser/kaufen/einfamilienhaus
