"ContextId","Alias","GeoLevel","LocationAvivGeoId","LocationName","LocationSlug","ExampleUrl","WhiteLabelUrl"
"14925","buy:apartment:rooms-1:cheap","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/immo-paris-75/bien-appartement/type-studio/commodite-pascher/","https://www.seloger.com/recherche/achat/appartement/pas-cher/piece-1/ile-de-france/paris-75000/ad08fr31096"
"14925","buy:apartment:rooms-1:cheap","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-studio/commodite-pascher/","https://www.seloger.com/recherche/achat/appartement/pas-cher/piece-1/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"38365","buy:apartment:rooms-1:privateseller","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/particulier/bien-appartement/type-studio/france.htm","https://www.seloger.com/recherche/achat/appartement/particulier/piece-1/france/ad02fr1"
"38365","buy:apartment:rooms-1:privateseller","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/particulier/bien-appartement/type-studio/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/particulier/piece-1/ile-de-france/ad04fr5"
"38365","buy:apartment:rooms-1:privateseller","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/particulier/75/bien-appartement/type-studio/","https://www.seloger.com/recherche/achat/appartement/particulier/piece-1/ile-de-france/paris-75/ad06fr76"
"38365","buy:apartment:rooms-1:privateseller","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/particulier/immo-paris-75/bien-appartement/type-studio/","https://www.seloger.com/recherche/achat/appartement/particulier/piece-1/ile-de-france/paris-75000/ad08fr31096"
"38365","buy:apartment:rooms-1:privateseller","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/particulier/immo-paris-18eme-75/bien-appartement/type-studio/","https://www.seloger.com/recherche/achat/appartement/particulier/piece-1/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"42868","buy:apartment:rooms-1:torenovate","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-studio/commodite-travaux/france.htm","https://www.seloger.com/recherche/achat/appartement/a-renover/piece-1/france/ad02fr1"
"42868","buy:apartment:rooms-1:torenovate","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/bien-appartement/type-studio/commodite-travaux/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/a-renover/piece-1/ile-de-france/ad04fr5"
"42868","buy:apartment:rooms-1:torenovate","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/75/bien-appartement/type-studio/commodite-travaux/","https://www.seloger.com/recherche/achat/appartement/a-renover/piece-1/ile-de-france/paris-75/ad06fr76"
"42868","buy:apartment:rooms-1:torenovate","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/immo-paris-75/bien-appartement/type-studio/commodite-travaux/","https://www.seloger.com/recherche/achat/appartement/a-renover/piece-1/ile-de-france/paris-75000/ad08fr31096"
"42868","buy:apartment:rooms-1:torenovate","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-studio/commodite-travaux/","https://www.seloger.com/recherche/achat/appartement/a-renover/piece-1/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"64096","buy:apartment:rooms-2","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-2-pieces/france.htm","https://www.seloger.com/recherche/achat/appartement/piece-2/france/ad02fr1"
"64096","buy:apartment:rooms-2","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/bien-appartement/type-2-pieces/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/piece-2/ile-de-france/ad04fr5"
"64096","buy:apartment:rooms-2","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/75/bien-appartement/type-2-pieces/","https://www.seloger.com/recherche/achat/appartement/piece-2/ile-de-france/paris-75/ad06fr76"
"64096","buy:apartment:rooms-2","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/immo-paris-75/bien-appartement/type-2-pieces/","https://www.seloger.com/recherche/achat/appartement/piece-2/ile-de-france/paris-75000/ad08fr31096"
"64096","buy:apartment:rooms-2","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-2-pieces/","https://www.seloger.com/recherche/achat/appartement/piece-2/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"18867","buy:apartment:rooms-2:cheap","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-2-pieces/france/commodite-pascher/","https://www.seloger.com/recherche/achat/appartement/pas-cher/piece-2/france/ad02fr1"
"18867","buy:apartment:rooms-2:cheap","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/bien-appartement/type-2-pieces/commodite-pascher/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/pas-cher/piece-2/ile-de-france/ad04fr5"
"18867","buy:apartment:rooms-2:cheap","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/75/bien-appartement/type-2-pieces/commodite-pascher/","https://www.seloger.com/recherche/achat/appartement/pas-cher/piece-2/ile-de-france/paris-75/ad06fr76"
"18867","buy:apartment:rooms-2:cheap","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/immo-paris-75/bien-appartement/type-2-pieces/commodite-pascher/","https://www.seloger.com/recherche/achat/appartement/pas-cher/piece-2/ile-de-france/paris-75000/ad08fr31096"
"18867","buy:apartment:rooms-2:cheap","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-2-pieces/commodite-pascher/","https://www.seloger.com/recherche/achat/appartement/pas-cher/piece-2/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"46062","buy:apartment:rooms-2:privateseller","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/particulier/bien-appartement/type-2-pieces/france.htm","https://www.seloger.com/recherche/achat/appartement/particulier/piece-2/france/ad02fr1"
"46062","buy:apartment:rooms-2:privateseller","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/particulier/bien-appartement/type-2-pieces/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/particulier/piece-2/ile-de-france/ad04fr5"
"46062","buy:apartment:rooms-2:privateseller","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/particulier/75/bien-appartement/type-2-pieces/","https://www.seloger.com/recherche/achat/appartement/particulier/piece-2/ile-de-france/paris-75/ad06fr76"
"46062","buy:apartment:rooms-2:privateseller","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/particulier/immo-paris-75/bien-appartement/type-2-pieces/","https://www.seloger.com/recherche/achat/appartement/particulier/piece-2/ile-de-france/paris-75000/ad08fr31096"
"46062","buy:apartment:rooms-2:privateseller","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/particulier/immo-paris-18eme-75/bien-appartement/type-2-pieces/","https://www.seloger.com/recherche/achat/appartement/particulier/piece-2/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"22605","buy:apartment:rooms-3","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-3-pieces/france.htm","https://www.seloger.com/recherche/achat/appartement/piece-3/france/ad02fr1"
